Ticker,Company,Market,Currency,Price,Change %,RSI,Rebound Score,Profit Opp %,Volume
QUB.AX,Qube Holdings Limited,ASX,AUD,5,0.5,85.7,151.2,18.1,2011758
ASX.AX,ASX Limited,ASX,AUD,58.71,0.51,85.5,89,10.7,751996
TCL.AX,Transurban Group,ASX,AUD,13.67,0.22,73.3,70.2,8.4,2733739
AGL.AX,AGL Energy Limited,ASX,AUD,9.67,0.42,71.4,53.4,6.4,758074
ZIM,ZIM Integrated Shipping Services Ltd.,US,USD,26.39,0.17,50,51.8,6.2,73630
AEM,Agnico Eagle Mines Limited,US,USD,218.73,0.11,73.6,50.3,6,79088
NEM,Newmont Corporation,US,USD,120.84,0.04,68.1,47.8,5.7,199773
CVX,Chevron Corporation,US,USD,188.54,0.01,83.9,46.3,5.6,382351
AAPL,Apple Inc.,US,USD,260.38,-0.03,70.3,40.8,4.9,665204
ENPH,"Enphase Energy, Inc.",US,USD,31.19,-0.06,73.8,40.8,4.9,195175
COP,ConocoPhillips,US,USD,122.54,-0.05,68.6,37.3,4.5,789668
VALE,Vale S.A.,US,USD,16.97,-0.09,22.7,35.2,4.2,867307
MATX,"Matson, Inc.",US,USD,171.09,-0.34,35.8,35.2,4.2,12355
TSLA,"Tesla, Inc.",US,USD,348.895,0.04,67.6,34,4.1,565757
FCX,Freeport-McMoRan Inc.,US,USD,67.84,-0.04,26.2,33.7,4,330029
S32.AX,South32 Limited,ASX,AUD,4.63,0.43,66.7,32.6,3.9,4180092
CCJ,Cameco Corporation,US,USD,116.1,0,20.8,31.8,3.8,100789
NVDA,NVIDIA Corporation,US,USD,188.64,-0.01,35.5,29.9,3.6,1895632
FSLR,"First Solar, Inc.",US,USD,203.52,0.1,63.7,29.1,3.5,40540
DAC,Danaos Corporation,US,USD,115.03,-0.23,50.6,27.3,3.3,3735
BPT.AX,Beach Energy Limited,ASX,AUD,1.21,-0.41,36,26.6,3.2,234780
CMRE,Costamare Inc.,US,USD,17.24,0.38,65.4,25.9,3.1,14322
360.AX,"Life360, Inc.",ASX,AUD,19.48,-0.15,43.2,25.7,3.1,153163
AMD,"Advanced Micro Devices, Inc.",US,USD,245.02,0.04,35.2,25.4,3,447239
NEE,"NextEra Energy, Inc.",US,USD,94.11,-0.08,59.1,25,3,140123
ORG.AX,Origin Energy Limited,ASX,AUD,12.38,0.41,64,24.9,3,1938412
CWEN,"Clearway Energy, Inc.",US,USD,41.07,-0.05,43.3,23.6,2.8,15063
GOOGL,Alphabet Inc.,US,USD,317.25,0.02,38.1,22.2,2.7,482105
XRO.AX,Xero Limited,ASX,AUD,71.46,-0.29,29.8,21.3,2.6,249622
RIO.AX,Rio Tinto Group,ASX,AUD,171.23,-0.01,29.2,21.1,2.5,298886
BHP.AX,BHP Group Limited,ASX,AUD,53.98,0,32,20.8,2.5,2920
MSFT,Microsoft Corporation,US,USD,370.87,0.02,39.4,20.4,2.4,524131
XOM,Exxon Mobil Corporation,US,USD,152.3,0.02,54.2,20,2.4,768494
OXY,Occidental Petroleum Corporation,US,USD,57.995,-0.05,50,19.5,2.3,294164
STO.AX,Santos Limited,ASX,AUD,7.88,0,27.3,18.9,2.3,63105
MEZ.AX,Meridian Energy Limited,ASX,AUD,4.64,0.43,70,17.4,2.1,98
TNE.AX,Technology One Limited,ASX,AUD,27.69,0.27,72.5,16.4,2,372532
SBLK,Star Bulk Carriers Corp.,US,USD,24.235,0.02,57.7,16.2,1.9,32321
SCCO,Southern Copper Corporation,US,USD,192.51,0.18,65.9,16,1.9,50884
NXT.AX,NEXTDC Limited,ASX,AUD,12.82,-0.62,23.5,15.4,1.9,659703
GOLD,"Gold.com, Inc.",US,USD,44,0.18,34.4,13.9,1.7,6927
BEPC,Brookfield Renewable Corporation,US,USD,42.55,-0.05,53.1,13.2,1.6,36302
IFT.AX,Infratil Limited,ASX,AUD,10.04,0.3,52.4,13.1,1.6,113693
PME.AX,Pro Medicus Limited,ASX,AUD,126.92,0.17,55.6,11.6,1.4,84439
MIN.AX,Mineral Resources Limited,ASX,AUD,57.98,-0.29,35,8.1,1,239881
CEN.AX,Contact Energy Limited,ASX,AUD,7.81,0.77,64.1,8.1,1,13
WDS.AX,Woodside Energy Group Ltd,ASX,AUD,33.28,0,85.2,6.9,0.8,8644
MCY.AX,Mercury NZ Limited,ASX,AUD,5.31,0,47.9,5.8,0.7,8
REA.AX,REA Group Limited,ASX,AUD,158.56,-0.03,69.2,1.3,0.2,403
WHC.AX,Whitehaven Coal Limited,ASX,AUD,8.12,0,57.1,1,0.1,20603
IGO.AX,IGO Limited,ASX,AUD,8.15,0,53.8,0.4,0,8315
WTC.AX,WiseTech Global Limited,ASX,AUD,37.63,-1.39,20.3,-6.5,-0.8,676683
FMG.AX,Fortescue Ltd,ASX,AUD,20.26,0.25,46.3,-26.1,-3.1,2192197
