Ticker,Current Price,5d Change %,Avg Vol (M),Vol Spike,Volatility %,RSI (14),Signal Score,Sector
AMD,236.64,12.6,33.1,0.81,3.2,67.9,3.371,Tech
GOOGL,318.49,7.1,29.0,0.82,2.3,56.7,2.81,Tech
S32.AX,4.58,7.3,18.6,0.67,3.3,62.3,1.865,Mining
BHP.AX,54.56,8.3,10.6,0.64,2.2,67.0,1.757,Mining
NXT.AX,12.9,14.0,2.6,0.64,4.1,43.4,1.626,Tech
NVDA,183.91,4.6,168.7,0.69,2.1,55.9,1.595,Tech
FCX,66.45,8.6,17.7,0.71,3.6,78.1,1.328,Mining
MSFT,373.07,1.0,31.3,0.91,1.3,36.1,0.81,Tech
VALE,16.65,3.7,27.9,0.73,2.4,76.3,0.72,Mining
360.AX,20.14,7.3,1.3,2.03,5.3,52.7,0.68,Tech
QUB.AX,4.99,2.7,9.1,0.51,0.6,55.3,0.615,Shipping
NEE,94.48,1.8,8.9,0.83,1.1,60.7,0.537,Renewable
NEM,119.01,4.6,11.6,0.57,3.1,79.7,0.534,Mining
AAPL,260.49,1.9,40.0,0.66,1.4,65.7,0.524,Tech
IGO.AX,8.14,3.7,3.1,0.9,3.6,61.3,0.338,Renewable
WTC.AX,38.62,1.6,1.8,1.78,4.7,38.8,0.298,Tech
MIN.AX,58.22,8.6,1.2,0.8,4.2,56.9,0.286,Mining
CCJ,115.54,4.0,3.3,0.6,3.2,62.1,0.258,Energy
ASX.AX,57.45,9.8,1.0,1.41,2.0,80.9,0.251,Shipping
RIO.AX,171.76,6.4,1.5,0.75,2.4,64.2,0.246,Mining
TNE.AX,27.89,3.9,1.5,1.07,3.0,59.5,0.223,Tech
FMG.AX,20.53,1.1,6.7,0.76,2.5,57.0,0.214,Mining
BEPC,42.31,4.7,1.6,0.63,2.3,59.8,0.172,Renewable
PME.AX,127.38,9.0,0.4,0.98,3.4,52.1,0.157,Tech
SCCO,188.05,5.7,1.8,0.47,4.1,70.9,0.109,Mining
GOLD,44.12,5.5,0.6,0.75,3.7,50.4,0.106,Mining
AEM,216.44,3.0,2.9,0.46,3.3,76.7,0.081,Mining
ZIM,26.4,1.7,1.9,0.56,1.4,55.8,0.08,Shipping
SBLK,24.19,2.3,1.4,0.63,2.5,60.3,0.075,Shipping
REA.AX,159.28,1.8,0.3,1.09,2.4,47.1,0.056,Tech
CWEN,40.77,2.2,0.9,0.52,1.9,56.7,0.041,Renewable
CMRE,17.34,2.0,0.4,1.07,2.1,53.6,0.038,Shipping
IFT.AX,9.96,3.5,0.4,0.83,1.6,72.0,0.031,Renewable
MATX,172.1,4.4,0.3,0.48,1.9,70.0,0.018,Shipping
DAC,116.43,2.0,0.1,1.18,1.9,55.4,0.007,Shipping
CEN.AX,7.7,2.9,0.0,1.08,3.1,49.6,0.001,Renewable
MCY.AX,5.24,0.2,0.0,0.38,3.5,52.9,0.0,Renewable
MEZ.AX,4.64,0.4,0.0,0.39,2.2,51.0,0.0,Renewable
ORG.AX,12.35,-0.2,5.3,0.79,1.8,60.9,-0.039,Energy
STO.AX,7.95,-0.1,24.1,0.59,2.0,54.8,-0.039,Energy
JNS.AX,0.14,-26.3,0.3,0.25,11.1,55.4,-0.046,Renewable
FSLR,197.25,-1.1,1.7,0.62,2.6,48.2,-0.1,Renewable
AGL.AX,9.68,-1.8,2.9,0.61,1.8,63.4,-0.115,Renewable
XRO.AX,73.41,-2.3,0.8,1.86,3.6,40.7,-0.22,Tech
TCL.AX,13.93,-0.6,6.0,0.93,1.0,38.4,-0.259,Shipping
WDS.AX,33.33,-4.9,11.0,0.6,3.4,57.6,-1.162,Energy
CVX,190.36,-3.6,15.1,0.65,1.9,36.9,-1.974,Energy
BPT.AX,1.23,-5.0,17.6,0.39,2.9,49.4,-2.046,Energy
XOM,155.04,-3.6,25.5,0.74,2.1,46.1,-2.772,Energy
COP,123.47,-3.8,10.8,0.84,1.9,45.0,-3.028,Energy
WHC.AX,8.39,-9.3,7.7,0.63,3.6,45.2,-3.363,Energy
ENPH,31.26,-18.3,5.2,1.24,4.2,21.2,-3.975,Renewable
OXY,58.53,-5.9,21.1,0.73,2.6,46.8,-4.427,Energy
TSLA,345.62,-9.3,64.9,0.94,2.6,36.4,-6.964,Tech
