Ticker,Current Price,1mo Change %,Avg Vol (M),Vol Spike,Volatility %,Signal Score,Sector
AMD,236.64,15.5,33.1,0.81,3.2,12.965,Tech
VALE,16.65,8.5,27.9,0.73,2.4,6.941,Mining
WDS.AX,33.33,10.4,11.0,0.6,3.4,5.835,Energy
FCX,66.45,8.0,17.7,0.71,3.6,5.637,Mining
STO.AX,7.95,7.9,24.1,0.59,2.0,5.337,Energy
S32.AX,4.58,7.5,18.6,0.67,3.3,5.125,Mining
BPT.AX,1.23,10.3,17.6,0.39,2.9,4.258,Energy
OXY,58.53,5.3,21.1,0.73,2.6,4.204,Energy
BHP.AX,54.56,6.5,10.6,0.64,2.2,4.179,Mining
COP,123.47,5.5,10.7,0.69,1.9,3.942,Energy
FMG.AX,20.53,6.5,6.7,0.76,2.5,3.011,Mining
GOOGL,318.49,3.2,29.0,0.81,2.3,2.895,Tech
ASX.AX,57.45,14.9,1.0,1.41,2.0,1.996,Shipping
ORG.AX,12.35,4.7,5.3,0.79,1.8,1.947,Energy
XOM,155.04,2.3,25.5,0.74,2.1,1.921,Energy
NEE,94.48,3.1,8.8,0.61,1.1,1.753,Renewable
IGO.AX,8.14,6.0,3.1,0.9,3.6,1.415,Renewable
NEM,119.01,2.4,11.6,0.57,3.1,1.38,Mining
RIO.AX,171.76,11.8,1.5,0.75,2.4,1.268,Mining
IFT.AX,9.96,11.8,0.4,0.83,1.6,0.365,Renewable
CWEN,40.77,7.7,0.9,0.52,1.9,0.34,Renewable
QUB.AX,4.99,0.6,9.1,0.51,0.6,0.311,Shipping
SBLK,24.19,3.8,1.4,0.63,2.5,0.311,Shipping
BEPC,42.31,2.7,1.6,0.63,2.3,0.248,Renewable
AGL.AX,9.68,1.4,2.9,0.61,1.8,0.234,Renewable
TNE.AX,27.89,1.6,1.5,1.07,3.0,0.231,Tech
MATX,172.1,11.8,0.3,0.48,1.9,0.163,Shipping
NXT.AX,12.9,1.2,2.6,0.64,4.1,0.158,Tech
CMRE,17.34,3.2,0.4,1.07,2.1,0.131,Shipping
JNS.AX,0.14,27.3,0.3,0.25,11.1,0.108,Renewable
MIN.AX,58.22,1.3,1.2,0.8,4.2,0.104,Mining
CCJ,115.54,0.1,3.3,0.6,3.2,0.022,Energy
DAC,116.43,2.6,0.1,1.04,1.9,0.018,Shipping
MEZ.AX,4.64,3.1,0.0,0.39,2.2,0.005,Renewable
CEN.AX,7.7,0.4,0.0,1.08,3.1,0.0,Renewable
MCY.AX,5.24,-1.5,0.0,0.38,3.5,-0.0,Renewable
AAPL,260.49,-0.1,40.0,0.66,1.4,-0.099,Tech
SCCO,188.05,-2.1,1.8,0.47,4.1,-0.137,Mining
FSLR,197.25,-1.5,1.7,0.62,2.6,-0.142,Renewable
REA.AX,159.28,-6.9,0.3,1.09,2.4,-0.225,Tech
ZIM,26.4,-2.8,1.9,0.52,1.4,-0.272,Shipping
PME.AX,127.38,-8.8,0.4,0.98,3.4,-0.323,Tech
AEM,216.44,-2.9,2.9,0.46,3.3,-0.327,Mining
GOLD,44.12,-12.6,0.6,0.75,3.7,-0.484,Mining
CVX,190.36,-0.7,15.1,0.65,1.9,-0.559,Energy
TCL.AX,13.93,-1.3,6.0,0.93,1.0,-0.753,Shipping
NVDA,183.91,-1.1,168.5,0.65,2.1,-0.845,Tech
XRO.AX,73.41,-12.3,0.8,1.86,3.6,-1.46,Tech
WHC.AX,8.39,-4.0,7.7,0.63,3.6,-1.604,Energy
360.AX,20.14,-10.5,1.3,2.03,5.3,-2.074,Tech
WTC.AX,38.62,-24.2,1.8,1.78,4.7,-5.891,Tech
MSFT,373.07,-7.9,31.3,0.91,1.3,-8.801,Tech
ENPH,31.26,-27.9,5.2,1.24,4.2,-14.239,Renewable
TSLA,345.62,-15.3,64.9,0.94,2.6,-15.614,Tech
