Ticker,Sector,Current Price,10d Change %,Vol Spike,RSI,Stochastic,BB %,20d Vol %,MACD Hist,Rebound Score,Signal Score,Last Updated
CVX,Energy,188.55,-9.3,0.73,34.9,10.2,1.4,1.75,-2.65,24.0,21.6,07:07:50
ENPH,Renewable,31.18,-22.4,0.83,21.6,4.7,11.8,4.33,-0.89,20.8,18.7,07:07:50
XOM,Energy,152.51,-7.8,0.68,41.4,14.2,8.2,2.12,-1.92,20.1,18.1,07:07:50
TSLA,Tech,348.95,-6.2,0.82,42.0,14.7,19.7,2.55,-1.73,18.0,16.2,07:07:50
WTC.AX,Tech,37.63,-5.0,1.35,42.2,46.7,25.3,4.75,0.24,15.5,29.0,07:07:50
MSFT,Tech,370.87,1.3,0.76,39.5,50.4,37.4,1.38,1.44,12.8,26.5,07:07:50
WDS.AX,Energy,33.28,-1.0,0.76,47.9,34.2,45.6,3.34,-0.4,11.0,9.9,07:07:50
FMG.AX,Mining,20.26,1.0,1.05,61.1,72.9,58.5,2.48,0.09,10.8,24.7,07:07:50
MATX,Shipping,171.27,4.9,0.36,74.9,77.5,85.0,1.7,1.28,10.7,24.6,07:07:50
MIN.AX,Mining,57.98,2.0,0.57,62.7,88.1,79.5,4.01,0.47,10.7,24.6,07:07:50
NEE,Renewable,94.08,3.2,0.54,81.8,79.2,83.0,1.1,0.19,10.7,24.6,07:07:50
AAPL,Tech,260.48,3.0,0.6,67.5,86.7,93.9,1.34,1.43,10.7,24.6,07:07:50
ORG.AX,Energy,12.38,0.6,1.15,61.2,56.9,64.0,1.76,-0.02,10.2,9.2,07:07:50
STO.AX,Energy,7.9,3.1,0.56,46.4,55.6,54.9,1.84,-0.04,10.1,9.1,07:07:50
ZIM,Shipping,26.39,0.5,0.25,59.8,58.0,70.2,1.13,-0.05,10.0,9.0,07:07:50
NVDA,Tech,188.63,10.2,0.89,68.2,91.0,100.2,2.22,1.79,0.7,15.6,07:07:50
BHP.AX,Mining,53.98,7.7,0.67,73.4,85.2,89.0,2.22,0.57,0.7,15.6,07:07:50
S32.AX,Mining,4.63,12.7,0.55,68.8,85.3,88.8,3.38,0.06,0.7,15.6,07:07:50
FSLR,Renewable,203.47,9.5,0.69,58.2,81.9,91.3,2.71,2.15,0.7,15.6,07:07:50
RIO.AX,Mining,171.23,14.2,0.59,70.1,90.5,88.7,2.51,2.15,0.7,15.6,07:07:50
AMD,Tech,245.04,20.3,0.94,73.7,95.2,109.1,3.2,4.51,0.7,15.6,07:07:50
SBLK,Shipping,24.22,7.6,0.52,64.0,86.3,82.5,2.16,0.18,0.7,15.6,07:07:50
