Ticker,Current Price,5d Change %,Avg Daily Vol (M),Signal Score,Sector
NVDA,182.08,4.4,171.5,64.192,Tech
AMD,231.82,14.0,33.6,39.849,Tech
GOOGL,317.32,10.3,29.2,25.675,Tech
FCX,65.1,10.8,18.1,16.587,Mining
VALE,16.74,5.2,29.1,12.901,Mining
S32.AX,4.55,6.4,18.2,9.95,Mining
NEM,118.15,9.1,11.7,9.072,Mining
AAPL,258.9,2.0,40.5,6.936,Tech
BHP.AX,54.09,7.3,10.4,6.487,Mining
MSFT,374.33,1.1,31.4,2.995,Tech
NXT.AX,12.78,12.9,2.6,2.838,Tech
QUB.AX,4.99,2.6,8.9,1.947,Shipping
CCJ,115.9,6.7,3.4,1.943,Energy
FMG.AX,20.92,3.0,6.5,1.643,Mining
AEM,215.59,6.2,3.0,1.564,Mining
SCCO,187.17,8.8,1.8,1.363,Mining
NEE,94.17,1.4,8.9,1.054,Renewable
BEPC,42.9,7.7,1.6,1.033,Renewable
IGO.AX,8.15,3.8,3.1,0.993,Renewable
SBLK,24.63,7.2,1.5,0.921,Shipping
360.AX,20.24,7.8,1.3,0.872,Tech
MIN.AX,57.98,8.2,1.2,0.826,Mining
GOLD,45.76,14.2,0.6,0.769,Mining
RIO.AX,170.82,5.8,1.5,0.745,Mining
ASX.AX,56.81,8.6,0.9,0.69,Shipping
WTC.AX,39.48,3.8,1.7,0.566,Tech
TNE.AX,27.98,4.2,1.4,0.522,Tech
PME.AX,128.98,10.3,0.4,0.378,Tech
FSLR,200.78,1.8,1.7,0.26,Renewable
CWEN,40.57,3.3,0.9,0.248,Renewable
CMRE,17.64,4.4,0.4,0.148,Shipping
MATX,172.49,5.2,0.3,0.136,Shipping
IFT.AX,10.04,4.4,0.4,0.135,Renewable
REA.AX,161.4,3.2,0.3,0.083,Tech
ZIM,26.45,0.4,1.9,0.062,Shipping
DAC,117.23,4.1,0.1,0.024,Shipping
MCY.AX,5.38,2.9,0.0,0.002,Renewable
CEN.AX,7.84,4.8,0.0,0.002,Renewable
MEZ.AX,4.61,-0.2,0.0,-0.001,Renewable
XRO.AX,74.71,-0.5,0.7,-0.033,Tech
ORG.AX,12.23,-1.2,5.1,-0.527,Energy
JNS.AX,0.15,-22.6,0.3,-0.608,Renewable
AGL.AX,9.6,-2.6,2.8,-0.625,Renewable
TCL.AX,13.76,-1.8,5.8,-0.878,Shipping
STO.AX,7.93,-0.4,23.7,-0.884,Energy
COP,125.22,-5.1,11.0,-4.805,Energy
WDS.AX,33.12,-5.5,10.8,-5.064,Energy
WHC.AX,8.51,-8.1,7.6,-5.19,Energy
ENPH,32.56,-13.9,5.2,-6.151,Renewable
BPT.AX,1.23,-5.3,17.4,-7.78,Energy
CVX,192.89,-6.8,15.3,-8.787,Energy
OXY,59.77,-8.0,21.9,-14.944,Energy
XOM,156.22,-7.9,25.8,-17.403,Energy
TSLA,343.25,-7.7,65.1,-42.442,Tech
