Ticker,Current Price,5d Change %,Avg Vol (M),Vol Spike,Volatility %,RSI,Signal Score,Sector
FCX,66.45,8.6,17.7,0.71,3.6,78.1,10.58,Mining
NVDA,183.91,4.6,168.7,0.69,2.1,55.9,6.1,Tech
VALE,16.65,3.7,27.9,0.77,2.4,76.3,5.37,Mining
NEM,119.01,4.6,11.6,0.59,3.1,79.7,3.75,Mining
AAPL,260.49,1.9,40.1,0.7,1.4,65.7,2.68,Tech
NEE,94.48,1.8,8.9,0.83,1.1,60.7,1.78,Renewable
BHP.AX,54.23,3.2,10.0,0.34,2.2,75.0,1.36,Mining
S32.AX,4.59,2.6,18.0,0.22,3.3,68.1,0.98,Mining
ASX.AX,58.2,9.1,1.0,0.58,2.0,82.0,0.67,Shipping
QUB.AX,4.99,1.7,8.8,0.26,0.6,64.6,0.56,Shipping
NXT.AX,12.62,7.8,2.5,0.25,4.1,43.8,0.54,Tech
SBLK,24.19,2.3,1.4,0.63,2.5,60.3,0.26,Shipping
ZIM,26.4,1.7,1.9,0.56,1.4,55.8,0.24,Shipping
RIO.AX,171.88,2.9,1.5,0.31,2.4,70.9,0.16,Mining
MATX,172.1,4.4,0.3,0.61,1.9,70.0,0.1,Shipping
MIN.AX,57.69,2.3,1.2,0.26,4.1,62.0,0.08,Mining
REA.AX,157.14,-2.0,0.3,0.35,2.3,48.5,-0.03,Tech
IGO.AX,8.1,-0.8,3.0,0.19,3.5,67.2,-0.05,Renewable
ORG.AX,12.3,-1.0,4.9,0.16,1.8,59.6,-0.1,Energy
TNE.AX,27.27,-2.3,1.5,0.33,2.9,57.1,-0.13,Tech
FSLR,197.25,-1.1,1.7,0.63,2.6,48.2,-0.14,Renewable
AGL.AX,9.66,-2.6,2.8,0.23,1.8,63.4,-0.22,Renewable
XRO.AX,71.49,-7.1,0.7,0.69,3.6,41.4,-0.42,Tech
WTC.AX,37.56,-5.1,1.7,0.75,4.7,42.1,-0.72,Tech
STO.AX,7.8,-2.1,23.0,0.19,1.8,43.9,-0.77,Energy
TCL.AX,13.52,-2.3,5.9,0.98,1.2,38.2,-1.79,Shipping
WDS.AX,32.76,-6.6,10.5,0.26,3.3,45.6,-2.16,Energy
FMG.AX,20.09,-4.7,6.5,0.66,2.6,59.3,-2.48,Mining
BPT.AX,1.21,-6.6,16.1,0.26,2.7,39.2,-3.18,Energy
CVX,190.36,-3.6,15.2,0.77,1.9,36.9,-5.31,Energy
WHC.AX,7.91,-14.4,7.3,0.52,3.8,37.0,-6.24,Energy
XOM,155.04,-3.6,25.9,1.0,2.1,46.1,-6.83,Energy
ENPH,31.26,-18.3,5.2,1.26,4.2,21.2,-13.35,Renewable
TSLA,345.62,-9.3,64.9,0.96,2.6,36.4,-16.51,Tech
